Vulnerable Library,CVE Severity,Products Affected,Enterprises Exposed
@isaacs/brace-expansion 5.0.0,High,5,442501
immutable 4.3.4,High,3,441615
webpack-dev-middleware 3.7.3,High,3,440365
minimatch 7.4.6,High,2,439526
path-to-regexp 6.2.1,High,2,439526
webpack-dev-middleware 6.1.1,High,2,439526
ws 8.5.0,High,2,439526
minimatch 10.1.1,High,4,436177
ws 6.2.2,High,3,430149
tar-fs 2.0.0,High,2,429310
ws 7.4.6,High,2,429310
minimatch 5.1.6,High,5,418081
tar 6.2.0,High,2,405905
svgo 3.3.2,High,4,404325
json 2.15.2,High,1,403948
sigstore 0.2.2,High,1,403948
urijs 1.17.1,High,1,403948
flatted 2.0.2,High,5,396793
minimatch 9.0.1,High,3,387037
@remix-run/router 1.16.0,High,1,386951
async 3.1.1,High,1,386951
axios 0.24.0,High,1,386951
axios 1.8.4,High,1,386951
fast-json-patch 2.2.1,High,1,386951
fast-xml-parser 5.3.0,High,1,386951
grunt 1.3.0,High,1,386951
js-yaml 3.5.3,High,1,386951
locutus 2.0.16,High,1,386951
storybook 7.6.19,High,1,386951
storybook 7.6.4,High,1,386951
svgo 3.1.0,High,1,386951
tar-fs 3.0.4,High,1,386951
tar-fs 3.0.6,High,1,386951
undici 5.28.2,High,1,386951
multer 2.0.2,High,3,310868
protobuf-java 3.24.4,High,3,291486
protobuf-javalite 3.24.4,High,3,291486
protobuf-kotlin 3.24.4,High,3,291486
protobuf-kotlin-lite 3.24.4,High,3,291486
underscore 1.13.2,High,1,288237
assertj-core 3.27.3,High,2,274591
tar 7.4.3,High,2,271977
drupal/core 9.8.0,High,1,268561
drupal/core-recommended 9.8.0,High,1,268561
@remix-run/router 1.23.0,High,2,255234
qs 6.5.2,High,4,252068
tar 6.2.1,High,8,246304
lodash 3.10.1,High,5,219290
semver 4.3.6,High,5,219290
tmpl 1.0.4,High,4,217201
minimatch 10.2.2,High,2,202698
minimatch 3.1.3,High,2,202698
minimatch 9.0.6,High,2,202698
electron-updater 6.1.7,High,1,202659
glob 10.3.1,High,1,202659
json 2.18.1,High,1,202659
json 2.18.1-java,High,1,202659
minimatch 9.0.2,High,1,202659
quinn-proto 0.11.13,High,1,202659
tar 7.1.0,High,1,202659
ws 8.14.2,High,1,202659
protobuf-java 2.5.0,High,7,192382
fast-xml-parser 4.5.4,High,2,190379
immutable 4.3.7,High,3,182631
github.com/docker/docker v28.5.2+incompatible,High,2,176342
cryptography 44.0.2,High,1,174761
ecdsa 0.19.0,High,1,174761
jaraco-context 6.0.1,High,1,174761
pillow 10.0.1,High,1,174761
protobuf 5.29.3,High,1,174761
pyasn1 0.6.1,High,1,174761
pyjwt 2.10.1,High,1,174761
pyopenssl 25.0.0,High,1,174761
urllib3 2.3.0,High,2,174761
urllib3 2.5.0,High,1,174761
werkzeug 2.3.7,High,1,174761
wheel 0.45.0,High,1,174761
okhttp 3.12.12,High,2,173675
body-parser 1.14.2,High,4,166715
semver 5.3.0,High,4,166715
json5 0.4.0,High,3,164626
minimatch 0.2.14,High,3,164626
minimatch 2.0.10,High,3,164626
npm-user-validate 0.1.5,High,3,164626
printf 0.2.5,High,3,164626
shelljs 0.3.0,High,3,164626
tough-cookie 2.2.2,High,3,164626
flatted 3.4.1,High,2,163635
phpseclib/phpseclib 3.0.46,High,1,163635
qs 5.1.0,High,3,160447
qs 5.2.0,High,3,160447
@angular/common 20.1.3,High,1,159046
@angular/compiler 20.1.3,High,1,159046
@angular/core 20.1.3,High,1,159046
aircompressor 0.27,High,1,159046
log4j-core @log4j.version@,High,1,159046
okhttp 3.14.9,High,1,159046
okhttp 3.7.0,High,1,159046
debug 0.7.4,High,2,158358
debug 2.3.3,High,2,158358
engine.io 1.8.0,High,2,158358
lodash.merge 3.3.2,High,2,158358
parsejson 0.0.3,High,2,158358
socket.io-parser 2.3.1,High,2,158358
ws 1.1.1,High,2,158358
kramdown 1.17.0,High,4,157285
commons-beanutils 1.9.4,High,4,148454
lodash 2.4.2,High,3,146223
moment 2.24.0,High,4,145554
phpseclib/phpseclib 3.0.49,High,2,143831
serialize-javascript 6.0.0,High,3,143740
merge 1.2.1,High,3,137955
log4j 1.2.17,High,7,137789
lodash 2.3.0,High,2,136296
parsejson 0.0.1,High,2,136296
socket.io-parser 2.2.2,High,2,136296
socket.io-parser 2.2.4,High,2,136296
redis 4.5.1,High,1,132399
hoek 0.9.1,High,2,130308
apidoc-core 0.8.3,High,1,130028
assertj-core 3.12.2,High,1,130028
debug 1.0.2,High,1,130028
debug 1.0.3,High,1,130028
debug 1.0.4,High,1,130028
debug 2.1.0,High,1,130028
diff 2.2.3,High,1,130028
lodash-es 3.10.1,High,1,130028
logback-classic 1.1.2,High,1,130028
ms 0.6.2,High,1,130028
