VendorName,Product,ProductCategory,IsOpenSource,GitHubLink
Amobee,Kontera,Other Advertising Software,No,
Sovrn Holdings Inc,OnScroll,Other Advertising Software,No,
FirstImpression,FirstImpression,Other Advertising Software,No,
FuelX Inc.,FuelX,Other Advertising Software,No,
Proper Media LLC,Proper Media,Other Advertising Software,No,
netsprint,Netsprint,Other Advertising Software,No,
AdsNative,Polymorph,Other Advertising Software,No,
PubGalaxy,PubGalaxy,Other Advertising Software,No,
Say Media,Tempest,Other Advertising Software,No,
Evolve Media LLC,Crowd Ignite,Other Advertising Software,No,
MyFinance Inc.,MyFinance,Other Advertising Software,No,
Crimtan,Crimtan,Other Advertising Software,No,
Digital Advertising Alliance,AppChoices,Other Advertising Software,No,
NeoBux,NeoBux,Other Advertising Software,No,
ALC Inc.,ALC Match Partner Network,Other Advertising Software,No,
EDAA,YourOnlineChoices,Other Advertising Software,No,
Znaptag,Znaptag,Other Advertising Software,No,
Google,Google Remarketing,Retargeting,No,
Criteo,Criteo,Retargeting,No,
Tapad Inc.,Tapad,Retargeting,No,
AdRoll,AdRoll,Retargeting,No,
mediaFORGE,mediaFORGE,Retargeting,No,
SteelHouse,SteelHouse,Retargeting,No,
Perfect Audience,Perfect Audience,Retargeting,No,
Chango,Chango,Retargeting,No,
RTB House,RTB House,Retargeting,No,
Magnetic Media Online Inc.,Magnetic,Retargeting,No,
ReTargeter,ReTargeter,Retargeting,No,
Dunnhumby Ireland Ltd,Sociomantic,Retargeting,No,
NaviStone,NaviStone,Retargeting,No,
Nano Interactive,Nano Interactive,Retargeting,No,
Wider Planet Co. Ltd.,Wider Planet,Retargeting,No,
myThings,myThings,Retargeting,No,
TellApart,TellApart,Retargeting,No,
xplosion interactive Gmbh,Xplosion Interactive,Retargeting,No,
Triggit,Triggit,Retargeting,No,
Squadata.net,Squadata,Retargeting,No,
ListenLoop,ListenLoop,Retargeting,No,
AdExtent,AdExtent,Retargeting,No,
Verizon Media,Tacoda,Retargeting,No,
Verizon Media,Leadback,Retargeting,No,
Oracle,Grapeshot,Retargeting,No,
Shoelace,Shoelace,Retargeting,No,
Rakuten Marketing,NextPerf,Retargeting,No,
CyberCit�,Katchup,Retargeting,No,
Adcrowd,Adcrowd,Retargeting,No,
Remintrex,Remintrex,Retargeting,No,
Captify,Captify,Retargeting,No,
Exactdrive Inc,ExactDrive,Retargeting,No,
Dalenys,Eperflex,Retargeting,No,
ROI Hunter,ROI Hunter Easy,Retargeting,No,
Meteora,Meteora,Retargeting,No,
KUPONA GmbH,Kupona,Retargeting,No,
Merchenta,Merchenta,Retargeting,No,
Realtime Targeting,Realtime Targeting,Retargeting,No,
F@N Communications Inc.,nex8,Retargeting,No,
PubMatic,PubMatic,Supply Side Platforms,No,
Liveramp,Circulate,Supply Side Platforms,No,
Yieldlab AG,YieldLab,Supply Side Platforms,No,
Switch Concepts Ltd,Switch Ads,Supply Side Platforms,No,
Between Digital,Between Digital,Supply Side Platforms,No,
fluct,fluct,Supply Side Platforms,No,
WideOrbit,Admeta,Supply Side Platforms,No,
MicroAd,MicroAd COMPASS,Supply Side Platforms,No,
Platform One Inc,YIELDONE,Supply Side Platforms,No,
Teads France,Teads,Video Advertising Networks,No,
Inform Inc,Inform,Video Advertising Networks,No,
SpotX,SpotX,Video Advertising Networks,No,
Tremor Video,Tremor Video,Video Advertising Networks,No,
Improve Digital,Improve Digital,Video Advertising Networks,No,
FreeWheel Media Inc.,FreeWheel,Video Advertising Networks,No,
FreeWheel Media Inc.,StickyADStv,Video Advertising Networks,No,
Tout Inc,Tout,Video Advertising Networks,No,
ADITION technologies,movad,Video Advertising Networks,No,
Innovid,Innovid,Video Advertising Networks,No,
Videology,Videology,Video Advertising Networks,No,
Verizon Media,AdapTV,Video Advertising Networks,No,
BrightRoll,BrightRoll,Video Advertising Networks,No,
