repo_url,VendorName,Product,ProductCategory,Total Sites,US Sites,Total Enterprises,Enterprises in US,gh_stars,gh_forks,gh_open_issues,gh_watchers,gh_language,gh_created_at,gh_updated_at,gh_pushed_at,gh_default_branch,gh_license,gh_archived,gh_size_kb,sbom_file,vuln_file,total_libraries,unique_libraries,syft_languages,syft_pkg_types,unique_lib_versions,vuln_lib_count,pct_libs_vulnerable,total_vulns,unique_cves,critical,high,medium,low,fixable,not_fixed,avg_cvss,max_cvss,avg_risk,max_risk,avg_epss,max_epss,grype_languages,grype_pkg_types,cwes,pct_fixable,pct_enterprises,active
https://github.com/Modernizr/Modernizr,Modernizr,Modernizr,Frameworks & Libraries,3109589,1415886,1634842.0,574789,25667.0,2948.0,193.0,867.0,JavaScript,2009-09-25T20:13:23Z,2026-03-30T13:16:40Z,2026-03-27 04:11:46+00:00,master,MIT,False,20535.0,,,43.0,39.0,javascript,github-action; npm,39.0,0.0,0.0,,,,,,,,,,,,,,,,,,,3.94,True
https://github.com/NLnetLabs/nsd,NLnet Labs,NSD,Server,2,0,2.0,0,544.0,117.0,61.0,21.0,C,2017-06-13T10:01:17Z,2026-03-25T15:15:04Z,2026-03-25 08:24:45+00:00,master,BSD-3-Clause,False,204724.0,,,14.0,12.0,python,github-action; python,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,True
https://github.com/NLnetLabs/unbound,NLnet Labs,Unbound,Server,2,0,2.0,0,4371.0,431.0,352.0,65.0,C,2017-06-13T09:27:49Z,2026-03-30T14:16:03Z,2026-03-30 14:23:30+00:00,master,BSD-3-Clause,False,101783.0,,,5.0,4.0,,github-action,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,True
https://github.com/NagiosEnterprises/nagioscore,Nagios Enterprises,Nagios,IT Infrastructure & Ops Management,422391,262709,90339.0,42572,1973.0,473.0,202.0,107.0,C,2014-01-21T21:33:23Z,2026-03-29T21:54:44Z,2026-03-25 14:24:55+00:00,master,GPL-2.0,False,27586.0,,,2.0,2.0,,github-action,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.22,True
https://github.com/NetBSD/src,netBSD,netBSD,Operating System,1837,804,324.0,141,907.0,347.0,16.0,45.0,C,2017-04-16T20:03:43Z,2026-03-30T05:13:00Z,2026-03-27 18:52:10+00:00,trunk,,False,3322067.0,,,100.0,74.0,python,deb; github-action; python,82.0,8.0,10.81,29.0,25.0,0.0,8.0,19.0,2.0,28.0,1.0,6.3,8.9,0.47,6.37,0.01,0.21,python,python,CWE-1333; CWE-1333; CWE-400; CWE-1336; CWE-1336; CWE-693; CWE-150; CWE-200; CWE-345; CWE-377; CWE-400; CWE-400; CWE-770; CWE-409; CWE-434; CWE-522; CWE-601; CWE-669; CWE-670; CWE-770; CWE-79; CWE-835,96.55,0.0,True
https://github.com/NodeBB/NodeBB,NodeBB,NodeBB,Software as a Service,424,53,185.0,44,15033.0,2941.0,181.0,356.0,JavaScript,2013-04-22T16:49:40Z,2026-03-30T13:45:15Z,2026-03-30 16:03:20+00:00,master,GPL-3.0,False,104966.0,,,14.0,13.0,,github-action,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,True
https://github.com/OXID-eSales/oxideshop_ce,Oxid,Oxid,E-Commerce Platform/Software,430360,335456,100112.0,57628,238.0,199.0,4.0,55.0,PHP,2013-04-08T09:08:00Z,2026-03-30T11:50:53Z,2026-03-30 15:03:19+00:00,b-8.0.x,NOASSERTION,False,163424.0,,,5.0,3.0,,github-action-workflow,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.24,True
https://github.com/Open-Web-Analytics/Open-Web-Analytics,Open Web Analytics,Open Web Analytics,Web Analytics,18040,9232,10658.0,4275,2655.0,484.0,117.0,110.0,PHP,2012-04-01T07:53:45Z,2026-03-28T20:56:45Z,2026-02-28 03:03:59+00:00,master,GPL-2.0,False,17038.0,,,186.0,186.0,javascript; php,github-action; npm; php-composer,186.0,10.0,5.38,20.0,19.0,1.0,8.0,8.0,3.0,20.0,0.0,6.39,9.8,0.23,1.18,0.0,0.02,javascript; php,npm; php-composer,CWE-1050; CWE-400; CWE-1321; CWE-1333; CWE-1333; CWE-400; CWE-400; CWE-407; CWE-436; CWE-79; CWE-918,100.0,0.03,False
https://github.com/OpenPrinting/cups,Apple,CUPS,Server,1398,1036,184.0,106,1552.0,276.0,47.0,31.0,C,2020-09-03T19:43:01Z,2026-03-30T15:15:02Z,2026-03-30 17:42:15+00:00,master,Apache-2.0,False,122695.0,,,11.0,9.0,,github-action,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,True
https://github.com/OpenTSDB/opentsdb,OpenTSDB,OpenTSDB,Database Management,17921,10891,3035.0,1224,5064.0,1239.0,537.0,323.0,Java,2010-08-27T02:05:20Z,2026-03-20T04:29:10Z,2024-12-12 20:03:34+00:00,master,LGPL-2.1,False,41493.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,False
