Library Name,Versions Found,Total Products Using It,Affected Products,Total Enterprises Exposed,Total CVEs,Worst Severity,# Critical,# High,# Medium,# Low,Fix Available
xmlhttprequest-ssl,"1.5.1, 1.5.3, 2.0.0, 2.1.1, 2.1.2",10,"AngularJS, Apache Ambari, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Tez, Apache YARN, Liferay, Orchard CMS, ZURB Foundation",944610,2,Critical,8,0,0,0,Yes
macaddress,"0.2.8, 0.2.9",3,"LocomotiveCMS, OrientDB, React",940770,1,Critical,1,0,0,0,Yes
zookeeper,"3.10.0-SNAPSHOT, 3.4.14, 3.4.5, 3.5.5, 3.8.4, 3.8.6, 3.9.3, 3.9.5",23,"Alluxio, Apache Accumulo, Apache Ambari, Apache Chukwa, Apache Drill, Apache Giraph, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Kylin, Apache NiFi, Apache Phoenix, Apache Spark, Apache Spark Streaming, Apache Storm, Apache Trafodion, Apache YARN, Apache Zookeeper, Druid, GridGain, Hbase, Hive, Presto",921311,7,Critical,6,14,4,0,Yes
hadoop-common,"2.10.1, 2.10.2, 2.2.0, 2.3.0, 2.6.0, 2.7.2, 2.7.7, 2.8.5, 2.9.2, 3.2.2, 3.3.2, 3.3.4, 3.3.6, 3.4.1, 3.4.2, 3.4.3, 3.6.0-SNAPSHOT, UNKNOWN",24,"Alluxio, Apache Ambari, Apache Apex, Apache Chukwa, Apache Drill, Apache Flink, Apache Flume, Apache Giraph, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Kylin, Apache NiFi, Apache Oozie, Apache Phoenix, Apache Storm, Apache Tez, Apache Trafodion, Apache YARN, Cask Data Application Platform, Druid, GridGain, Hbase, Hive",878846,11,Critical,32,19,6,17,Yes
log4j-core,"2.1, 2.17.1, 2.18.0, 2.19.0, 2.20.0, 2.23.1, 2.25.3, 2.25.4, 2.8.2, @log4j.version@, UNKNOWN",22,"Alluxio, Apache Accumulo, Apache Flink, Apache Flume, Apache Kylin, Apache MINA, Apache Phoenix, Apache Spark, Apache Spark Streaming, Apache Storm, CloudStack, Druid, GridGain, Hbase, Hive, Jahia, Jetty, Liferay, Neo4j, Presto, Vaadin, dotCMS",871908,7,Critical,6,3,11,3,Yes
commons-collections4,"4.0, 4.1, 4.2, 4.4, 4.5.0, UNKNOWN",23,"Alluxio, Apache Accumulo, Apache Ambari, Apache Drill, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Kylin, Apache NiFi, Apache Spark, Apache Spark Streaming, Apache Storm, Apache Tez, Apache YARN, Apache Zookeeper, CloudStack, Druid, Hive, Jahia, Liquibase, Weka, XWiki, ZK",865043,2,Critical,1,1,0,0,Yes
kramdown,"1.17.0, 1.6.0, 2.3.2, 2.4.0, 2.5.1",10,"Apache Mesos, Apache PredictionIO, Apache Spark, Apache Spark Streaming, Capistrano, EasyMock, LocomotiveCMS, Marathon, Ruby on Rails, Scala",804438,2,Critical,5,4,0,0,Yes
rack,"1.6.0, 1.6.12, 2.2.22, 3.1.8, 3.2.1, 3.2.4, 3.2.5",9,"Apache Mesos, Apache PredictionIO, Discourse, GoCD, LocomotiveCMS, Opscode Chef, Phusion Passenger, Ruby on Rails, Selenium",759435,26,Critical,2,44,25,4,Yes
h2,"0.3.27, 0.4.13, 1.4.193, 1.4.199, 2.2.220, 2.3.232, 2.4.240, 4.3.0, UNKNOWN",15,"Apache Ambari, Apache Drill, Apache Kylin, Apache Mahout, Apache NiFi, Apache Spark, Apache Spark Streaming, Apache Tomcat, DNS Server, Hive, InfluxData, JBoss Enterprise Application Server  EAS , Liquibase, Presto, dotCMS",747953,4,Critical,4,2,0,0,Yes
logback-classic,"1.0.13, 1.1.2, 1.2.11, 1.2.13, 1.2.3, 1.2.8, 1.3.14, 1.3.15, 1.3.16, 1.5.16, 1.5.18, 1.5.32, 1.5.7, 1.5.9, UNKNOWN",18,"Akka HTTP, Apache Ambari, Apache Drill, Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache NiFi, Apache YARN, Apache Zookeeper, Cask Data Application Platform, EasyMock, Neo4j, Oracle NetBeans, Pivotal vFabric RabbitMQ, SonarQube, XWiki, ZK, Zabbix",744904,2,Critical,2,5,0,0,Yes
derby,"10.14.2.0, 10.16.1.1, 10.17.1.0",11,"Apache Hadoop, Apache Hadoop HDFS, Apache Hadoop MapReduce, Apache Oozie, Apache Spark, Apache Spark Streaming, Apache YARN, Druid, GlassFish, Hive, Jahia",736953,1,Critical,5,0,0,0,Yes
golang.org/x/crypto,"v0.0.0-20190820162420-60c769a6c586, v0.0.0-20200622213623-75b288015ac9, v0.1.0, v0.27.0, v0.3.0, v0.36.0, v0.41.0, v0.44.0, v0.45.0, v0.47.0, v0.48.0, v0.49.0",10,"Alluxio, Docker, Ethereum, Grafana, Juju, Liquibase, Prometheus, Sensu, Swarm, k8s",663519,10,Critical,5,13,20,0,Yes
