Library Name,Version,Total Products Using It,Affected Products,Total Enterprises Exposed,Total CVEs,Worst Severity,# Critical,# High,# Medium,# Low,Fix Available
mina-core,2.1.5,1,Apache Flume,28178,1,Critical,1,0,0,0,Yes
parquet-avro,1.11.2,1,Apache Flume,28178,2,Critical,1,1,0,0,Yes
nokogiri,1.13.6,1,Apache Mesos,27494,1,Critical,1,0,0,0,Yes
rack,1.6.12,1,Apache Mesos,27494,22,Critical,1,13,6,2,Yes
golang.org/x/crypto,v0.27.0,1,Liquibase,25920,4,Critical,1,1,2,0,Yes
liquibase-core,0-SNAPSHOT,1,Liquibase,25920,1,Critical,1,0,0,0,Yes
liquibase-core,1.0-SNAPSHOT,1,Liquibase,25920,1,Critical,1,0,0,0,Yes
h2,1.4.199,1,Presto,22940,4,Critical,2,2,0,0,Yes
form-data,0.1.4,1,Emberjs,18683,1,Critical,1,0,0,0,Yes
postgresql,42.1.1.jre7,1,Jython,18048,6,Critical,1,3,1,1,Yes
form-data,4.0.2,1,EllisLab ExpressionEngine,16978,1,Critical,1,0,0,0,Yes
mysql2,2.3.3,1,EllisLab ExpressionEngine,16978,5,Critical,2,1,2,0,Yes
htmlunit,2.58.0,1,GlassFish,15250,1,Critical,1,0,0,0,Yes
sshd-core,1.7.0,2,"Cask Data Application Platform, Vaadin",12997,2,Critical,2,0,2,0,Yes
nokogiri,1.10.4,1,Marathon,12777,15,Critical,1,12,2,0,Yes
com.liferay.portal.kernel,2.0.0,1,Vaadin,12500,6,Critical,1,2,2,1,Yes
log4j-core,2.8.2,1,Vaadin,12500,6,Critical,2,1,2,1,Yes
org.apache.karaf.specs.java.xml,4.2.1,1,Vaadin,12500,1,Critical,1,0,0,0,Yes
org.eclipse.jgit,3.5.1.201410131835-r,1,Vaadin,12500,3,Critical,1,1,1,0,Yes
pax-logging-log4j2,1.10.1,1,Vaadin,12500,5,Critical,3,1,1,0,Yes
form-data,3.0.3,1,Apollo Client,11501,1,Critical,1,0,0,0,Yes
next,15.2.1,1,Apollo Client,11501,9,Critical,2,0,6,1,Yes
webpack,5.66.0,1,Open Web Analytics,10658,4,Critical,1,0,1,2,Yes
shell-quote,1.7.2,2,"Druid, Neos",9323,1,Critical,2,0,0,0,Yes
next,14.1.3,1,Quill,8304,14,Critical,1,3,8,2,Yes
jackson-mapper-asl,1.9.13,2,"Apache Apex, Druid",7877,2,Critical,2,2,0,0,No
fast-xml-parser,4.5.3,2,"Druid, ReDoc",7796,5,Critical,2,4,2,2,Yes
crypto-js,4.1.1,1,NopCommerce,7599,1,Critical,1,0,0,0,Yes
swiper,11.1.14,1,NopCommerce,7599,1,Critical,1,0,0,0,Yes
immer,8.0.1,1,Druid,7234,2,Critical,1,1,0,0,Yes
netty,3.10.6.Final,1,Druid,7234,8,Critical,1,2,5,0,No
ranger-plugins-common,2.7.0,1,Druid,7234,1,Critical,1,0,0,0,Yes
@angular/ssr,20.3.3,1,dotCMS,6867,4,Critical,1,1,2,0,Yes
dart,2.17.6,1,dotCMS,6867,1,Critical,1,0,0,0,Yes
happy-dom,15.7.4,1,dotCMS,6867,3,Critical,2,1,0,0,Yes
next,14.0.4,1,dotCMS,6867,15,Critical,1,4,8,2,Yes
next,14.2.16,1,dotCMS,6867,11,Critical,1,1,7,2,Yes
webpack,5.64.0,1,dotCMS,6867,4,Critical,1,0,1,2,Yes
fast-xml-parser,4.3.0,1,CloudStack,6683,5,Critical,1,2,1,1,Yes
spring-web,5.3.26,1,CloudStack,6683,6,Critical,1,3,2,0,Partial
handlebars,3.0.3,1,Apache Tez,6268,6,Critical,3,2,1,0,Yes
fast-xml-parser,5.2.5,1,Ghost,5838,6,Critical,1,3,1,1,Yes
underscore,1.7.0,1,Ghost,5838,2,Critical,1,1,0,0,Yes
class-validator,0.13.2,1,Jahia,4763,1,Critical,1,0,0,0,Yes
drools-core,6.0.0.Final-jahia2,1,Jahia,4763,3,Critical,1,1,1,0,Yes
quartz,1.8.6,1,Jahia,4763,1,Critical,1,0,0,0,Yes
spring-beans,3.2.18.jahia2_OSGI,1,Jahia,4763,2,Critical,1,1,0,0,Yes
spring-web,3.2.18.jahia5_OSGI,1,Jahia,4763,6,Critical,1,3,2,0,Partial
spring-webmvc,3.2.18.RELEASE_OSGI,1,Jahia,4763,2,Critical,1,1,0,0,Partial
tj-actions/branch-names,v8,1,Jahia,4763,1,Critical,1,0,0,0,Yes
clojure,1.5.1,1,Weka,4230,1,Critical,1,0,0,0,Yes
groovy-all,1.8.5,1,Weka,4230,2,Critical,2,0,0,0,Yes
jython-standalone,2.5.2,1,Weka,4230,2,Critical,1,0,1,0,Yes
spark-core_2.10,1.1.1,1,Weka,4230,7,Critical,1,2,4,0,Partial
spark-core_2.10,1.6.3,1,Weka,4230,8,Critical,1,3,4,0,Partial
spark-core_2.10,2.4.0,1,Weka,4230,2,Critical,1,0,1,0,No
spark-core_2.12,3.0.0,1,Weka,4230,3,Critical,1,1,1,0,Yes
xmlbeans,2.6.0,1,Weka,4230,1,Critical,1,0,0,0,Yes
http,0.1.0,1,Rust,4040,2,Critical,1,1,0,0,Yes
rust-analyzer,0.5.0-dev,1,Rust,4040,1,Critical,1,0,0,0,No
lldb-dap,0.2.0,1,OpenBSD,3695,1,Critical,1,0,0,0,No
nokogiri,1.10.8,1,Capistrano,3189,10,Critical,1,7,2,0,Yes
calcite-core,1.30.0-kylin-5.x-r3,1,Apache Kylin,3107,1,Critical,1,0,0,0,Yes
hadoop-common,2.10.1,1,Apache Kylin,3107,4,Critical,3,0,0,1,Yes
spark-core_2.12,3.3.0-kylin-5.2.2,1,Apache Kylin,3107,2,Critical,1,1,0,0,Yes
tomcat-embed-core,9.0.90,1,Apache Kylin,3107,18,Critical,1,8,4,5,Yes
unboundid-ldapsdk,3.1.1,1,Apache Kylin,3107,1,Critical,1,0,0,0,Yes
zookeeper,3.4.14,1,Apache Kylin,3107,1,Critical,1,0,0,0,Yes
opentelemetry-javaagent,2.14.0,1,Apache Accumulo,2922,1,Critical,1,0,0,0,Yes
sqlalchemy,1.0.13,1,Formspree,2846,2,Critical,2,0,0,0,Yes
log4j,1.2.16,3,"Apache Chukwa, Apache Trafodion, JBoss Seam Framework",2774,6,Critical,9,9,0,0,Partial
elliptic,6.5.3,2,"LocomotiveCMS, Neos",2333,8,Critical,1,0,1,6,Partial
webpack,5.74.0,2,"Neos, Thelia",2228,4,Critical,2,0,2,4,Yes
kramdown,1.6.0,1,Apache PredictionIO,2177,1,Critical,1,0,0,0,Yes
nokogiri,1.8.2,1,Apache PredictionIO,2177,19,Critical,3,13,3,0,Yes
rack,1.6.0,1,Apache PredictionIO,2177,25,Critical,1,13,9,2,Yes
uglifier,2.7.1,1,Apache PredictionIO,2177,1,Critical,1,0,0,0,Yes
commons-collections4,4.0,1,Alluxio,2152,2,Critical,1,1,0,0,Yes
github.com/emicklei/go-restful,v0.0.0-20170410110728-ff4f55a20633,1,Alluxio,2152,1,Critical,1,0,0,0,Yes
golang.org/x/crypto,v0.0.0-20190820162420-60c769a6c586,1,Alluxio,2152,10,Critical,1,6,3,0,Yes
golang.org/x/crypto,v0.0.0-20200622213623-75b288015ac9,1,Alluxio,2152,8,Critical,1,4,3,0,Yes
golang.org/x/crypto,v0.1.0,1,Alluxio,2152,5,Critical,1,1,3,0,Yes
google.golang.org/grpc,v1.37.1,1,Alluxio,2152,2,Critical,1,1,0,0,Yes
parquet-avro,1.11.0,1,Alluxio,2152,2,Critical,1,1,0,0,Yes
@babel/traverse,7.0.0-beta.44,1,Neos,2089,1,Critical,1,0,0,0,Yes
elliptic,6.4.1,1,Neos,2089,9,Critical,1,1,1,6,Partial
eslint-utils,1.3.1,1,Neos,2089,1,Critical,1,0,0,0,Yes
form-data,2.3.2,1,Neos,2089,1,Critical,1,0,0,0,Yes
fsevents,1.2.7,1,Neos,2089,2,Critical,2,0,0,0,Yes
getobject,0.1.0,1,Neos,2089,1,Critical,1,0,0,0,Yes
handlebars,4.1.1,1,Neos,2089,12,Critical,4,7,1,0,Yes
lodash,4.17.10,1,Neos,2089,7,Critical,1,3,3,0,Yes
lodash,4.17.5,1,Neos,2089,7,Critical,1,3,3,0,Yes
minimist,0.1.0,1,Neos,2089,2,Critical,1,0,1,0,Yes
pbkdf2,3.0.17,1,Neos,2089,2,Critical,2,0,0,0,Yes
replicator,1.0.3,1,Neos,2089,1,Critical,1,0,0,0,Yes
tree-kill,1.2.1,1,Neos,2089,2,Critical,1,1,0,0,Yes
